unique_squirrel_id,shift,date,age,primary_fur_color,highlight_color,location,Above Ground Sighter Measurement,specific_location,running,chasing,climbing,eating,foraging,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
1B-AM-1012-09,AM,10122018,Adult,Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
40E-PM-1017-03,PM,10172018,Adult,Cinnamon,Gray,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
11E-PM-1012-03,PM,10122018,Adult,Gray,White,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
31C-AM-1017-01,AM,10172018,Adult,Gray,"Cinnamon, White",Above Ground,8,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
7I-PM-1013-03,PM,10132018,Adult,Black,Gray,Ground Plane,FALSE,Trash bins,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29D-PM-1010-01,PM,10102018,Juvenile,Gray,White,Above Ground,10,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
26A-AM-1014-02,AM,10142018,,Gray,Cinnamon,Ground Plane,FALSE,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22A-AM-1008-06,AM,10082018,Adult,Gray,,Above Ground,30,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9I-PM-1010-02,PM,10102018,Adult,Gray,"Cinnamon, White",Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
33B-PM-1010-02,PM,10102018,Adult,,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3E-AM-1006-06,AM,10062018,Adult,Gray,Cinnamon,Above Ground,14,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3F-AM-1006-10,AM,10062018,Adult,Cinnamon,White,Above Ground,6,on fence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
